d_oldage,d_health,d_rvf,d_cbpp,hsize_mean,hsize_min,hsize_max,rvf,cbpp
1812,26,477,102,3.04,0,21,1.0,1.0
1778,16,464,110,2.77,0,22,1.0,1.0
1817,15,468,102,3.61,0,26,1.0,1.0
1812,13,464,104,3.33,0,24,0.9,1.0
1846,26,460,93,3.24,0,25,1.0,0.9800000000000001
1844,18,479,105,3.12,0,31,1.0,0.9800000000000001
1840,13,514,103,3.63,0,25,1.0,1.0
1841,16,496,107,2.89,0,28,0.9800000000000001,1.0
1840,21,448,98,3.34,0,28,1.0,1.0
1848,13,499,108,3.58,0,20,1.0,1.0
1844,20,475,90,3.56,0,29,1.0,1.0
1874,24,493,102,4.7,0,28,1.0,1.0
1833,20,461,101,4.8,0,31,0.9800000000000001,1.0
1826,26,483,106,3.38,0,24,1.0,1.0
1839,23,479,112,2.93,0,25,0.9800000000000001,1.0
1794,12,448,103,2.77,0,27,0.9800000000000001,1.0
1797,20,504,117,2.83,0,19,1.0,1.0
1838,18,477,93,4.27,0,38,1.0,1.0
1730,14,455,107,2.32,0,23,1.0,1.0
1780,12,485,81,2.85,0,19,1.0,1.0
1849,21,498,112,3.81,0,25,1.0,1.0
1847,16,509,87,4.14,0,26,1.0,1.0
1862,26,497,91,3.73,0,30,0.9800000000000001,1.0
1838,19,477,88,3.23,0,25,0.96,1.0
1794,11,444,92,3.15,0,28,1.0,1.0
1821,15,452,100,3.19,0,26,0.9800000000000001,1.0
1843,22,520,122,4.62,0,34,0.9199999999999999,0.86
1861,17,484,101,3.36,0,22,0.9800000000000001,1.0
1843,24,491,108,3.57,0,25,1.0,1.0
1857,21,487,83,4.1,0,32,1.0,1.0
1854,17,474,98,4.03,0,30,1.0,1.0
1788,17,475,94,2.54,0,26,1.0,1.0
1802,10,492,99,3.43,0,29,1.0,1.0
1830,16,461,76,3.02,0,23,1.0,1.0
1841,17,503,100,3.64,0,20,1.0,1.0
1788,11,464,96,2.92,0,23,0.9800000000000001,1.0
1822,26,477,113,3.08,0,24,1.0,1.0
1796,19,481,94,3.33,0,32,1.0,1.0
1799,9,459,112,2.57,0,19,1.0,0.9800000000000001
1795,21,512,92,3.88,0,29,0.9,1.0
1836,12,493,89,3.23,0,27,1.0,1.0
1844,11,508,92,3.53,0,31,1.0,0.9800000000000001
1780,15,504,110,2.62,0,18,1.0,1.0
1839,13,476,99,3.75,0,39,1.0,1.0
1833,17,495,97,3.82,0,27,0.9800000000000001,1.0
1815,13,451,101,4.04,0,30,1.0,1.0
1824,21,482,104,3.43,0,22,1.0,1.0
1790,14,482,108,3.09,0,25,1.0,1.0
1854,18,496,93,3.89,0,31,0.8800000000000001,1.0
1844,13,474,76,3.13,0,21,1.0,1.0
